method,data_fraction,seed,emotion,f1,precision,recall
distilbert,0.1,42,neutral,0.49055307454482994,0.6352313167259787,0.39955232232792387
distilbert,0.1,42,optimism,0.0,0.0,0.0
distilbert,0.1,42,pride,0.0,0.0,0.0
distilbert,0.1,42,realization,0.0,0.0,0.0
distilbert,0.1,42,relief,0.0,0.0,0.0
distilbert,0.1,42,remorse,0.0,0.0,0.0
distilbert,0.1,42,sadness,0.0,0.0,0.0
distilbert,0.1,42,surprise,0.0,0.0,0.0
distilbert,0.25,42,admiration,0.6402569593147751,0.6953488372093023,0.5932539682539683
distilbert,0.25,42,amusement,0.7432150313152401,0.827906976744186,0.6742424242424242
distilbert,0.25,42,anger,0.0,0.0,0.0
distilbert,0.25,42,annoyance,0.0,0.0,0.0
distilbert,0.25,42,approval,0.0,0.0,0.0
distilbert,0.25,42,caring,0.0,0.0,0.0
distilbert,0.25,42,confusion,0.0,0.0,0.0
distilbert,0.25,42,curiosity,0.2017291066282421,0.5555555555555556,0.12323943661971831
distilbert,0.25,42,desire,0.0,0.0,0.0
distilbert,0.25,42,disappointment,0.0,0.0,0.0
distilbert,0.25,42,disapproval,0.0,0.0,0.0
distilbert,0.25,42,disgust,0.0,0.0,0.0
distilbert,0.25,42,embarrassment,0.0,0.0,0.0
distilbert,0.25,42,excitement,0.0,0.0,0.0
distilbert,0.25,42,fear,0.0,0.0,0.0
distilbert,0.25,42,gratitude,0.911504424778761,0.9478527607361963,0.8778409090909091
distilbert,0.25,42,grief,0.0,0.0,0.0
distilbert,0.25,42,joy,0.36018957345971564,0.76,0.2360248447204969
distilbert,0.25,42,love,0.7761194029850746,0.7878787878787878,0.7647058823529411
distilbert,0.25,42,nervousness,0.0,0.0,0.0
distilbert,0.25,42,neutral,0.601479575426182,0.7072617246596067,0.523223279238948
distilbert,0.25,42,optimism,0.29464285714285715,0.868421052631579,0.1774193548387097
distilbert,0.25,42,pride,0.0,0.0,0.0
distilbert,0.25,42,realization,0.0,0.0,0.0
distilbert,0.25,42,relief,0.0,0.0,0.0
distilbert,0.25,42,remorse,0.0,0.0,0.0
distilbert,0.25,42,sadness,0.0,0.0,0.0
distilbert,0.25,42,surprise,0.0,0.0,0.0
distilbert,0.5,42,admiration,0.6631578947368421,0.7062780269058296,0.625
distilbert,0.5,42,amusement,0.819366852886406,0.8058608058608059,0.8333333333333334
distilbert,0.5,42,anger,0.3806228373702422,0.6043956043956044,0.2777777777777778
distilbert,0.5,42,annoyance,0.0,0.0,0.0
distilbert,0.5,42,approval,0.32051282051282054,0.6410256410256411,0.21367521367521367
distilbert,0.5,42,caring,0.055944055944055944,0.5,0.02962962962962963
